专利名,申请号,申请日,摘要,申请人,申请人地址,发明人,IPC分类号,专利号,公开日,主分类号,转化收益（万元）
支持软件安全在线升级的网络设备的产品映像设计方法,03160231.2,2003-09-28,本发明涉及支持软件安全在线升级的网络设备的产品映像设计方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,蔡一兵；石晶林；张天乐；李忠诚,G06F3/06,CN03160231.2A,2005-07-06,G06F3,5
一种大规模机群系统的监控方法,200310119410,2003-12-10,本发明公开了一种一种大规模机群系统的监控方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李博；马捷,G06F11/30,CN200310119410A,2006-08-16,G06F11,5
一种利用网络用户访问特性的网络代理缓存替换方法,200410047534.6,2004-05-21,本发明涉及一种利用网络用户访问特性的网络代理缓存替换方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,郭岩；白硕；王斌；张刚,G06N3/04,CN200410047534.6A,2006-10-18,G06N3,8
电路延时测试方法,00136116.3,2000-12-28,本发明公开了一种电路延时测试方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李华伟,H04L29/08,CN00136116.3A,2003-10-29,H04L29,10
动态索引的微处理器高速缓存方法,01144708.7,2001-12-20,本发明公开了一种动态索引的微处理器高速缓存方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,胡伟武；张福新；唐志敏,G06N3/04,CN01144708.7A,2004-09-01,G06N3,8
用于最大时间差流水线系统的非互补型的CMOS电路结构,01135045.8,2001-11-06,本发明涉及用于最大时间差流水线系统的非互补型的CMOS电路结构领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈岚；唐志敏,G06F16/27,CN01135045.8A,2005-12-21,G06F16,8
基于无线传感器网络的微量爆炸物监测系统、装置及方法,200510126233.7,2005-11-30,本发明涉及基于无线传感器网络的微量爆炸物监测系统、装置及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,崔莉；蒋理,G06F3/06,CN200510126233.7A,2008-03-05,G06F3,36
通讯协议一致性测试中的虚拟测试系统及方法,01123871.2,2001-08-08,本发明公开了一种通讯协议一致性测试中的虚拟测试系统及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,田军；张玉军；李忠诚,H04L29/08,CN01123871.2A,2005-06-22,H04L29,10
通讯协议的底层汇聚测试方法及系统,01136093.3,2001-10-08,本发明公开了一种通讯协议的底层汇聚测试方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,田军；张玉军；李忠诚,G06F17/30,CN01136093.3A,2005-01-19,G06F17,10
引入视觉模型的MPEG视频码流码率转换方法,02157889.3,2002-12-20,本发明涉及引入视觉模型的MPEG视频码流码率转换方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张勇东；曹岗；林守勋李锦涛,G06F11/30,CN02157889.3A,2005-09-14,G06F11,10
一种AVS视频基本流测试分析方法及设备,200510132108.7,2005-12-16,本发明公开了一种一种AVS视频基本流测试分析方法及设备的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘延伟；黄庆明；苏荔；高文,G06F9/50,CN200510132108.7A,2009-10-07,G06F9,10
MPEG-2到H.264压缩域视频转码器系数转换方法,200510135212.1,2005-12-27,本发明涉及MPEG-2到H.264压缩域视频转码器系数转换方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈杲；林守勋；张勇东,H04L12/24,CN200510135212.1A,2009-04-08,H04L12,10
用于视频转换的变换系数块的转换方法,200510135213.6,2005-12-27,本发明公开了一种用于视频转换的变换系数块的转换方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈杲；林守勋；张勇东,G06F3/06,CN200510135213.6A,2009-04-08,G06F3,10
